F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,class
0.41917996,1.416751003,1.267502715,-0.306190284,2.725409644,0.148272929,-0.224253555,0.862197355,1.662443247,2.207148698,0.984580956,0.259540416,3.090346656,0.489428072,2.967879386,0.971607842,1.289607794,1.533266763,0.531674389,1.122960037,0
1.153336652,1.140596768,1.119968739,-1.278009978,1.136772046,-0.192877531,2.422992788,2.225176212,0.184104363,1.594168256,-0.486931678,1.518214069,0.22803098,0.573641193,1.317856082,-1.023528907,0.914242922,1.549625657,1.026208183,2.033944708,0
-0.277144462,-0.567803051,0.6775569,0.596045218,1.442439721,2.888445785,0.117793605,2.216343446,-0.466595022,-0.943161523,1.139805093,1.380453195,0.780928791,2.765433583,0.273451288,0.488936668,1.450698568,0.074894664,1.19170017,0.370183258,0
0.610742824,0.710084632,0.595869632,0.621896768,1.356628273,-0.739274169,0.48344566,0.809630806,2.556845326,2.614738521,1.599167944,-0.632345157,0.073616018,1.508720012,-0.956998286,1.750976122,1.490619803,-0.170569285,0.029637042,2.025815784,0
0.945045195,0.925545373,0.525955028,-0.07948918,-0.945630194,0.572388403,-0.145494319,-0.155611954,1.677550156,-0.497093251,1.95390132,1.071547829,0.157720106,1.803599561,2.039114375,0.89938069,-0.548824752,0.910360329,1.558425819,1.623759838,0
1.13102647,2.225807945,2.008489147,-0.138384373,2.092255143,1.547382619,-0.931894516,-0.041891185,-0.099004793,1.41750437,1.731231628,0.267836122,0.566046482,-0.211293065,2.564258706,1.544393652,0.665426516,2.087027001,0.385110957,0.156131308,0
1.006121652,1.734562967,-0.423288504,1.734160488,0.579643428,1.262397099,-0.590129824,0.297868418,0.129442519,0.742971353,1.498110707,0.729960999,0.719512728,2.155651654,0.116369017,1.271984954,1.065619838,-0.475690174,0.382543402,1.605445835,0
1.688880982,2.477196648,-0.600450517,0.804736613,-0.174936103,0.676478664,1.748066672,0.880748156,-0.322129551,-0.059609802,1.525065001,1.507420046,-0.734204299,-0.438305448,1.311930337,0.950830517,1.07891647,0.013077049,0.998753969,0.241089157,0
1.874542704,2.514779208,1.056159012,0.970744644,2.156147846,1.43176077,4.212256758,-1.101010111,1.431165352,2.35283472,0.108365423,1.023169143,0.132975736,0.823857523,0.806303687,-0.167383478,-0.34100662,1.674322091,0.511741276,2.195741018,0
0.759990598,-2.21756065,1.820552056,-0.121721018,0.071883159,-0.021905361,1.015353894,2.533108604,0.816291425,3.224758072,1.288281491,1.832331049,3.11831932,0.761647295,1.295062693,2.456601812,-1.304450532,0.103637123,1.235246757,1.479700636,0
1.920845001,1.078747016,1.335128312,1.61867609,0.230433298,0.228392945,1.270960387,-0.487049804,0.943262378,0.180441259,2.052115721,3.233981392,-0.308731016,2.026390185,0.280450307,1.540795499,0.37819334,0.934858555,2.552708158,1.605855662,0
2.932132798,0.73277225,0.187678527,0.883992735,2.051186336,0.435164139,-0.237469986,0.469905002,0.69441153,-0.419817312,0.836473741,2.030750278,0.874559669,1.372687779,0.993465946,0.44378356,0.905337617,0.764783007,1.370790712,0.224146228,0
0.361508788,0.313007764,0.99059847,1.166199525,-0.764963955,-0.800342655,1.491712586,0.910985845,2.6685422,-0.134283133,0.874532876,2.608966725,2.545014482,-1.295714049,1.751287504,0.721767637,-0.232446664,0.339100517,0.73601281,1.492820473,0
2.189660422,0.606461916,1.414646842,1.528928977,1.332522165,2.375018572,0.241426582,1.898448559,3.123449414,2.186507495,-1.586387662,1.256693034,0.684801169,1.68548241,-1.193443131,3.53200424,1.536398815,1.001278968,1.219091768,1.990743569,0
1.668515355,2.861880839,0.315289354,1.735807486,-1.316629632,0.501599459,3.226092969,0.344451006,0.481448411,2.104775989,0.890920516,-0.86561997,-0.225417505,1.489993732,0.517013294,1.31830206,2.15431694,0.735314334,-0.578996792,0.764031853,0
1.98627898,-0.048685519,-0.263205194,1.802922464,2.410604417,1.071984182,1.823730419,1.118273508,0.812040823,1.695088859,1.428765324,1.331217954,0.944265629,2.270152523,0.841633482,0.268937626,0.723468509,1.730067057,2.705508316,0.826392561,0
0.768978314,3.043109606,2.635322473,2.349940412,2.341757906,-0.010585217,1.561880275,2.474885201,1.519912851,1.487445049,0.802768697,1.891786556,0.526588951,0.443331011,1.626922072,-0.121087216,1.915662842,2.394871075,1.825310658,1.412327256,0
1.890169642,0.170780448,-0.399386175,1.472227325,1.726417931,1.91116732,1.627308119,1.912007014,1.705313448,4.293032997,0.727600778,-0.284749772,-0.199372555,3.802324066,0.259782775,0.788949326,2.028238992,3.081900156,1.372732014,1.542548815,0
2.051576656,-0.172246953,1.430509797,1.897241025,0.956928733,-0.475125556,1.583001556,2.267990911,0.965637361,1.116257694,1.911410311,1.736981197,2.035967669,2.187775233,-0.615557708,-0.431878104,1.566473004,-0.892773651,1.661170891,-0.043556153,0
0.526933647,0.439225471,1.25142475,1.762147296,-0.282780087,0.246922813,1.449771579,2.004954913,0.890892234,1.394685245,0.576852965,0.197751053,-0.162249205,-0.265708537,0.936579074,0.252441558,2.003744916,0.668391609,0.768382789,0.329121254,0
1.544148829,1.887048474,1.060684583,1.675122535,0.937911334,1.698320656,-0.848942932,0.439005486,-0.795662574,2.927013383,0.684984372,-0.638430123,0.97818715,0.846368604,1.863818567,1.840539825,0.342184662,0.49487766,1.463207011,-0.78305105,0
0.290281905,0.896406214,2.784204564,0.856621696,0.397679115,1.565620624,0.021502881,2.218435397,1.515361417,0.312263627,-0.633930141,1.890248231,1.705575741,-0.118700936,-0.079310247,0.438351908,1.531140442,1.200693528,2.574386485,-0.335430671,0
0.768792038,0.675637562,0.79042903,1.414844964,1.923816436,1.220178426,-0.300775917,-0.787106149,1.615697509,-0.297762777,1.575768155,2.689718327,2.461094617,2.032102783,0.206811339,-0.140638481,0.0893339,2.597647264,0.290604242,0.665523684,0
0.997001186,2.236072231,0.208042478,0.994096952,1.21056985,-0.772656485,2.091957497,0.837630773,1.884668229,0.210403496,0.323778651,-0.179780183,2.927303051,1.960690731,-0.589108682,1.257624467,-0.269467463,1.67307461,1.064911116,1.505706553,0
0.006269812,-1.263736261,1.0206933,1.104666256,1.074618735,0.306947741,1.406933819,1.203925442,1.012531055,-0.62318795,1.168966484,2.184932349,-0.190353431,-0.667561462,0.616448011,-0.784001693,1.565550733,0.323648873,0.356857557,-0.140272475,0
1.951518524,1.782018835,0.412478137,0.950555939,0.206905332,1.006008161,2.94512786,1.688578962,1.811513095,1.592246866,1.144309902,0.951350921,1.127197917,1.50703721,0.444773741,2.331280248,-0.224154605,1.728490466,1.438649955,0.837423608,0
2.548465366,0.394454315,0.696038854,0.463350609,0.349295079,2.105178416,1.061874572,0.406195263,1.244285852,0.739580984,-1.272992982,1.178968067,2.250153029,0.169137504,2.525798751,1.232735556,0.077219349,0.752413496,1.745438101,2.209124245,0
1.485243771,0.871215738,0.501516218,2.247057547,1.400810912,0.190305806,0.943208239,-0.677762904,-0.082689059,0.552748021,1.825334277,0.582439083,3.497141034,-0.124956632,0.358128433,1.639695736,1.369534831,1.780438156,1.192976915,1.893838508,0
1.112734395,0.642589899,1.333159646,1.955789758,1.823781315,0.457801183,0.536302525,0.889468849,-1.62864765,2.901837673,1.895835779,0.985823827,0.522901754,0.164449223,0.279101703,0.119220644,1.700232174,1.828919704,0.575999801,1.23673926,0
0.580540236,0.925565499,2.477525732,1.454502359,1.335368983,-0.131755356,0.648819577,1.779420501,1.313836631,1.249627808,-0.622436361,0.014511649,2.274648007,0.782941515,1.191821123,-1.366275448,-0.807026042,1.735938666,0.969314404,3.016716409,0
1.85097929,0.843040242,0.978866866,-1.339390755,0.257043712,2.267238619,1.64714404,0.361269173,0.161513672,2.506447872,0.731157815,1.957701852,-0.459250993,-0.176383288,1.426484949,0.67039406,0.881829461,1.379358355,2.62702778,1.470471345,0
2.43749977,1.964897017,1.827186134,1.270253649,1.309887782,0.07869929,0.043195696,-0.24139964,2.271466168,1.998506538,1.762862352,0.719829364,-0.101617708,0.314249752,1.597081435,0.66512092,1.918851604,0.848036094,1.423853886,2.814050369,0
-0.596425942,1.482628901,0.434091187,2.303325444,0.552514458,1.164315887,1.324441514,1.474621292,0.684385382,1.808503251,0.836162822,1.103630831,1.581503308,3.487746697,1.503806048,1.110460106,1.85485014,0.193218041,0.285551311,1.257595852,0
-0.138666443,0.701016426,0.958072583,0.824008971,1.226813039,0.772568916,3.516756997,3.081869959,0.311246675,-0.598605739,-0.904645145,1.306589746,0.99254089,1.939498024,1.329359508,1.510429403,1.336660316,0.171304728,1.241560776,2.087933558,0
0.774636169,3.176611085,0.977587258,0.79972151,1.17168129,0.829042574,1.737739529,2.11229584,1.635607353,0.203385495,2.251651719,0.123806428,2.77636733,-0.386002088,-0.01827966,0.916592212,0.787522199,0.053565139,1.864651509,1.786487026,0
1.302400117,2.384000328,-1.172151765,0.826978059,0.373188398,0.561674125,1.744413694,-0.857789584,0.474190988,1.810413777,1.370642619,-0.116692239,1.320188152,0.010777274,0.75514706,1.006956158,-0.996026369,1.774353824,1.714963799,1.278531004,0
2.725988663,0.747283289,1.309222883,0.208499999,0.918370749,1.784467593,0.329558721,-0.53606725,0.286589351,0.601909713,0.196191747,2.407440738,0.980636599,0.64518636,0.756119237,0.285823764,0.462406323,0.499355244,1.012411877,0.103096351,0
-1.121501135,-1.05225116,0.603572628,2.154213966,1.600599893,1.221617573,-0.12135118,0.800867597,1.711765167,0.475999718,2.638538451,1.724722174,0.993777036,0.115568295,0.64413741,0.351401482,0.332513368,0.784329439,1.557076704,0.903844519,0
1.629009007,2.283875594,-0.414962281,1.683059366,1.576073647,1.068153049,0.954665413,1.656372839,1.165781437,0.639114436,0.96199184,1.597125465,-0.901060849,1.065964202,1.977548909,3.786255113,-0.260559811,0.165734804,1.938140281,1.285368755,0
2.287404875,2.395553851,0.581370833,1.392801971,1.031422396,1.68975474,0.930676873,1.036971715,1.03697641,-1.292268367,0.11487672,-0.550213177,2.000587356,1.744159754,1.175679341,1.164758244,-1.103630864,0.269024212,1.348142417,1.693013128,0
1.806940235,2.164409825,0.809437882,1.304324773,0.981892502,0.564619021,0.918454316,2.283444198,-0.117914351,1.259691058,1.432241475,-0.519357224,-0.257795567,1.53171805,0.591965685,2.091892995,0.50046108,2.119979714,1.030387658,1.129933171,0
0.467775907,1.833655026,2.159319061,1.259824055,0.623143716,1.330571803,-1.073875339,0.403959014,1.715922308,-0.051657374,1.572970404,1.508659645,2.53418727,2.892476464,0.211965865,0.41847004,2.256244006,0.597215252,0.774820202,1.680359211,0
1.402370112,0.363723091,0.544803969,1.669480413,1.18899784,1.300928495,0.563541021,0.230322344,0.020113548,-1.026735063,-0.659396871,1.207631456,1.156761264,-0.107024924,1.926497244,0.989855958,1.916906364,2.295781034,1.079105386,0.419588522,0
1.491186922,1.29360546,-0.358668742,-0.062230454,0.084801587,0.415922412,0.782456357,0.178806359,-0.228436196,1.861064077,1.288971149,1.214448163,0.70412175,1.353248047,0.221119865,3.305084823,0.372750049,-0.081761643,0.445674605,1.291467711,0
1.144187424,0.624873148,1.11933048,0.156281262,1.922266133,1.422695616,-1.09423028,-0.652086775,1.059673697,2.788140948,1.173162058,2.451978049,1.843450191,0.251463647,0.530919771,1.78822232,1.628341873,1.447118586,0.511325494,-1.730426515,0
-0.229812991,1.074460127,-0.464107254,1.660059088,0.870075314,2.099712211,2.030122397,0.837274293,-0.403146234,0.650069745,0.717302847,-1.479378427,1.333389176,1.111247443,0.997885494,-0.358641498,0.437997163,-0.092598429,-1.744906248,0.193865986,0
2.699963572,1.509093695,2.047113816,0.3471625,0.661915939,1.947662515,0.494329757,2.309390111,0.139181583,1.28436842,1.467852108,2.12556137,0.9745786,0.800685682,3.553871988,1.51110563,1.590958913,1.823657553,1.012434451,0.301833587,0
0.153785892,2.032897128,0.735121083,1.491227912,2.111517013,1.981587269,0.097666216,1.966057642,0.855238261,1.728556872,-0.146212518,1.576413009,1.154192103,0.854101887,0.829744909,-0.513455395,1.243241748,2.937041375,0.351073605,1.667888072,0
1.491177177,1.923704387,0.012649559,1.11054615,0.849601182,1.410275453,0.325025012,0.941780255,1.169412304,0.246193911,1.781453105,0.518241028,1.440666846,0.903428386,0.562640502,-0.611171583,1.904813921,0.764131126,1.408748709,1.460147173,0
-0.077059775,0.407994293,1.645234316,0.567536853,1.722304616,0.655345777,1.809630721,1.335109841,0.606049104,0.647527333,-0.41688626,1.112261245,0.476768945,0.002468749,0.982848537,0.92573979,0.804661116,2.376656145,1.525538893,2.45019764,0
0.30925242,0.246755121,1.297126263,2.003737488,1.289442467,2.714679822,0.901116172,1.535998011,1.0706202,2.139663374,1.415050625,2.305089633,1.314232418,1.332552293,0.64966369,1.525750709,1.346792066,-1.090021578,0.413555171,0.772633259,0
0.742333281,0.032912792,1.720713856,-0.328725266,1.56067738,2.469121067,0.302921861,1.012488643,0.367481138,-0.26222346,-1.001095209,1.906743574,1.595610796,3.556957061,1.553840856,0.343144157,1.040304952,-0.840025966,-0.537311858,0.935078209,0
0.260797069,1.590356403,-0.180221156,0.473564834,2.271457817,2.450580569,1.333244678,1.283299372,-1.585205202,-0.370599927,-0.130825054,1.699373484,-0.878930945,0.841338692,0.475366503,0.993885593,1.113832343,0.789522742,0.90721146,0.349112465,0
1.578936935,-0.591224717,3.239270196,2.69668186,3.395593567,1.202215221,1.922025826,0.443221555,0.884067459,3.587496352,-0.201835977,2.038786626,0.028877457,-0.206414213,1.159884207,1.12169921,0.82258919,-0.72574661,1.318503508,0.862847619,0
